Menu total: 362
Menu completed: 37
Menu not completed: 325

--- NOT COMPLETED (sorted by address) ---
0x4134A0: GadgetGrid::InsertItem
0x4135D0: GadgetGrid::RemoveItem
0x41F230: AITriggerTypeClass::HouseCredits
0x46CB60: CampaignClass::CampaignClass
0x46CC90: CampaignSelect::sub_46CC90
0x46CCD0: CampaignClass::GetMapData
0x46CE10: CampaignClass::LoadFromINIList
0x46CF80: CampaignClass::ddtor
0x46CFC0: CampaignClass::Stat
0x46D000: CampaignClass::Write
0x46D050: CampaignClass::Seek
0x46D070: CampaignClass::StubReturn928
0x46D080: CampaignClass::StubReturn10
0x46D090: CampaignClass::DTOR
0x46D4A0: Game::SendCampaignOptions
0x46DFD0: CampaignScore::DialogProc
0x46FC00: CampaignScore::ProcessScreen
0x470D30: CampaignScreen::Init
0x471420: CampaignScore::sub_471420
0x471500: CampaignScore::sub_471500
0x471520: CampaignScore::sub_471520
0x49C0D0: LoadCampaignCoopSave
0x49C5A0: CampaignClass::SaveProgress
0x49CCF0: DecodeCampaignPlayerName
0x49D390: LoadCoopCampaignSave
0x49D680: SerializeCampaignOptions
0x49DB00: CampaignClass::LoadFromINI
0x49E400: CampaignClass::FindMission
0x49E4F0: CampaignClass::GetValue
0x49ECD0: CampaignClass::sub_549ECD0
0x49F090: CampaignClass::sub_549F090
0x49F740: Dialog::sub_49F740
0x4A3C00: CreditsScreen::sub_4A3C00
0x4C3D00: CreditsPower::sub_4C3D00
0x4C6140: Menu::sub_4C6140
0x4C83E0: DialogFunc
0x4E12F0: GadgetClass::Construct
0x4E1390: GadgetClass::Dtor
0x4E1450: DialogControl::Hide
0x4E1460: DialogControl::Show
0x4E1470: DialogControl::IsHidden
0x4E1550: GadgetClass::ClearState
0x4E48E0: MapSkirmishDialogPlayerToControl
0x4E49A0: SetupSkirmishSpawnLocations
0x4E4EC0: Dialog::SideIDToIndex
0x4E59A0: Dialog::OptionIDToIndex
0x4E5E20: SetupLobbyPlayerSlotDialog
0x4E8A20: VectorClass_ptr_CampaignClass::sub_4E8A20
0x4E8A50: VectorClass_ptr_CampaignClass::sub_4E8A50
0x4E8A70: VectorClass_ptr_CampaignClass::Get
0x4E8A80: VectorClass_ptr_CampaignClass::sub_4E8A80
0x4E8AB0: VectorClass_ptr_CampaignClass::sub_4E8AB0
0x4EC300: VectorClass_ptr_CampaignClass::Add
0x4EC340: VectorClass_ptr_CampaignClass::Release
0x4EC3F0: VectorClass_ptr_CampaignClass::Remove
0x4EC420: VectorClass_ptr_CampaignClass::GetSize
0x4EC460: VectorClass_ptr_CampaignClass::GetCapacity
0x4EC480: VectorClass_ptr_CampaignClass::sub_4EC480
0x4EC530: VectorClass_ptr_CampaignClass::sub_4EC530
0x4EC6E0: VectorClass_ptr_CampaignClass::sub_4EC6E0
0x4EC790: VectorClass_ptr_CampaignClass::sub_4EC790
0x4F0200: VectorClass_ptr_CampaignClass::sub_4F0200
0x4F02A0: VectorClass_ptr_CampaignClass::sub_4F02A0
0x4F1840: ShowGameDialog
0x4F1CA0: LoadFromINIGraphicMenu
0x4F2300: ProcessGraphicMenu
0x4F2C70: ParseINIAnimGadgetDefinition
0x4F3090: GraphicMenuAnimItem::Release
0x4F3140: ParseINIGadgetDefinition
0x4F3640: GraphicMenuImageItem::Release
0x4F3690: GraphicMenuImageItem::Load
0x4F37A0: GraphicMenuImageItem::ddtor
0x4F3A50: GraphicMenuItem::Constructor
0x4F3A70: GraphicMenuItem::Destructor
0x4F3AD0: GraphicMenuAnimItem::StubReturnFalse
0x4F3AE0: GraphicMenuAnimItem::Stub
0x4F3AF0: GraphicMenuItem_Destru::Release
0x4F3B00: GraphicMenuAnimItem::AddRef
0x4F3EE0: GraphicMenuShortcutItem::AddRef
0x4F3FD0: GraphicMenuAnimItem::sub_4F3FD0
0x510FB0: PlayerSlot::NameToDialogID
0x52CB90: Credits::Screen
0x52D640: CampaignMenu::DlgProc
0x52D9A0: MenuSelect
0x52EC00: CampaignSelect::DlgProc
0x531A00: CreditsScreen::DlgProc
0x531CC0: MainMenu::Screen
0x531F60: MainMenu::DlgProc
0x53E730: IsMessageDialog
0x557BE0: GadgetClass::InitControls
0x558810: ShowSaveLoadDialog
0x558DD0: SaveLoadDialog::DlgProc
0x5596A0: LoadSaveDialog::FillList
0x561400: VideoSettingsDialogProc
0x596300: SkirmishMapGen::DlgProc
0x5AE460: CampaignClass::sub_55AE460
0x5B49B0: ModemGuest::Dialog
0x5B4B10: GameSetupDialogProc
0x5B4EE0: ModemGuest::InitDialog
0x5B5BC0: Dialog::InitializeGameSettings
